1,11.085,55.3232,9.54377,2032
2,12.43,62.6374,3.12512,2027
3,4.74881,67.9057,1.14944,1873
4,11.6426,78.9837,1.63032,1726
5,20.0704,63.5448,15.5768,1554
6,15.3878,72.3237,10.2628,1488
7,20.7514,83.4602,11.5943,1428
8,16.3878,51.5242,18.6229,1411
9,17.6001,91.4181,2.57611,1361
10,26.9353,90.3059,19.1919,1349
11,28.5735,72.4257,20.9965,1138
12,28.0724,102.321,14.8726,1087
13,29.9055,83.7713,28.9282,1059
14,9.25684,63.2505,15.1884,969
15,37.4412,112.723,23.1526,966
16,18.647,77.3064,22.4441,961
17,40.1165,99.0356,21.7843,937
18,40.7532,106.181,35.1537,929
19,25.3564,73.5542,3.52737,880
20,47.6092,120.476,35.1402,873
21,30.7145,98.6439,29.0799,856
22,25.3169,104.543,2.84977,853
23,22.3202,52.8968,5.68445,849
24,26.7139,59.3135,28.3266,833
25,13.4945,62.6175,29.6127,823
26,41.6836,90.9576,34.1939,813
27,56.8908,129.6,46.2233,804
28,31.0844,90.3948,6.52727,779
29,22.5195,72.3073,38.5339,764
30,46.0874,122.791,19.0191,736
31,47.3333,112.233,45.4993,734
32,51.925,108.733,29.7394,733
33,19.837,55.844,46.6045,722
34,58.8399,116.23,47.0579,650
35,68.2049,127.47,55.1093,646
36,66.2488,141.663,54.8016,634
37,27.8061,88.0657,42.4936,618
38,38.5331,97.4702,47.5861,608
39,41.8424,107.537,8.67966,595
40,53.087,96.64,43.9913,572
41,34.4843,119.682,4.15527,546
42,39.2477,72.0056,34.8268,539
43,75.0974,149.745,65.3427,539
44,72.0932,134.903,42.1312,530
45,56.5528,120.902,60.5057,520
46,53.17,131.745,32.8024,508
47,81.1844,144.309,52.1537,491
48,40.7527,81.0656,16.4376,467
49,79.0609,134.322,64.0674,465
50,20.3224,73.1952,55.5307,458
51,37.6269,78.5828,49.4901,457
52,61.1681,142.799,38.8799,454
53,62.1784,122.593,29.3172,451
54,47.5701,106.391,58.8462,442
55,72.0609,152.775,43.7307,438
56,48.1796,133.352,5.81796,415
57,94.9903,165.449,71.6408,412
58,91.828,154.582,84.4717,407
59,88.7794,150.458,66.7843,403
60,53.0949,140.559,20.9974,392
61,83.7242,160.276,75.5284,389
62,80.5143,142.473,90.626,385
63,69.8295,137.842,72.7132,385
64,85.2804,141.852,74.7407,379
65,26.8427,62.88,65.2027,376
66,79.5771,159.761,55.7846,373
67,32.542,90.2249,61.5447,366
68,136.813,205.459,113.648,364
69,65.3159,103.629,58.6676,363
70,80.9284,168.077,40.4711,358
71,63.9226,123.928,74.4441,355
72,106.039,173.539,98.0618,352
73,95.3728,171.243,85.2428,349
74,114.105,188.497,94.6889,344
75,53.3593,109.455,74.6886,336
76,106.254,163.841,83.7695,335
77,129.201,188.922,94.1081,333
78,87.4879,168.561,61.4182,331
79,74.5325,116.158,65.9628,325
80,126.075,201.919,102.859,320
81,84.2613,126.532,80.3645,311
82,65.9094,155.796,26.7023,308
83,122.498,177.59,105.21,305
84,117.19,174.314,84.1961,305
85,149.388,220.76,121.737,304
86,105.117,182.137,87.6467,300
87,102.07,175.606,75.0199,299
88,93.2102,154.193,54.078,295
89,50.6082,88.9381,60.8419,294
90,37.6301,74.113,79.4726,291
91,40.9196,96.5734,75.7692,291
92,8.31142,52.3668,61.1765,288
93,131.261,190.875,114.422,288
94,139.493,209.218,127.595,284
95,67.3483,128.382,92.5356,270
96,94.1849,161.087,96.5962,268
97,140.894,218.396,105.834,265
98,106.098,154,93.4546,265
99,68.272,139.674,24.7969,261
100,119.966,188.41,78.3678,261
101,96.5714,180.768,61.9961,259
102,110.747,169.964,112.636,258
103,166.054,234.83,144.421,257
104,116.759,189.584,108.265,257
105,162.558,219.764,148.508,255
106,177.337,250.702,144.603,253
107,102.697,154.382,69.749,253
108,121.044,201.574,86.1165,249
109,185.065,236.882,145.927,245
110,185.421,252.343,130.194,242
111,95.905,141.665,99.8678,241
112,160.675,231.692,130.43,238
113,151.722,222.645,138.974,234
114,154.906,208.893,110.751,233
115,175.288,240.644,156.648,231
116,62.5153,151.48,8.19651,229
117,140.245,204.996,93.2969,229
118,166.566,218.364,126.193,228
119,106.484,188.307,74.2933,225
120,140.369,192.72,131.267,224
121,72.0089,113.58,41.8451,223
122,144.291,206.099,144.359,223
123,105.633,191.349,54.6605,219
124,117.964,165.091,100.1,219
125,100.245,139.269,83.3704,216
126,154.023,208.27,131.884,215
127,22.5708,83.7547,77.8113,214
128,98.2607,171.602,47.4882,214
129,99.8977,157.256,111.293,213
130,143.385,193.761,102.549,213
131,167.768,227.941,164.773,211
132,53.1033,111.624,94.5446,211
133,112.057,172.524,65.6429,210
134,119.052,180.616,120.408,210
135,188.039,251.108,111.461,204
136,56.3769,94.2714,84.4724,202
137,175.811,223.015,139.761,202
138,126.355,194.384,127.379,202
139,110.383,154.653,131.051,199
140,85.2284,124.66,104.772,196
141,48.4769,87.7128,102.005,195
142,13.9641,62.9026,83.0103,194
143,169.459,250.088,125.325,194
144,112.088,200.098,69.1088,193
145,186,236.161,168.974,193
146,153.513,194.777,121.829,192
147,176.363,237.415,132.845,192
148,91.9263,184.853,44.8421,190
149,198.75,236.09,159.798,187
150,72.765,110.284,89.2951,186
151,84.2186,146.443,111.481,183
152,120.934,178.434,136.731,182
153,166.867,250.783,103.55,180
154,86.4438,126.348,51.118,180
155,26.6927,77.2849,100.553,179
156,83.2069,155.661,28.5402,178
157,128.022,162.139,120.361,177
158,156.806,238.52,115.097,175
159,183.303,221.483,165.669,175
